repetition,num_actions,occurrence_ratio,conflct_ratio,time_performance,makespan,total_waiting_time,total_flow_time
10,500,1,0.09,897.3783333333334,80.0,19479.0,19978.0
1,500,1,0.1,1032.7153333333333,91.0,22419.0,22918.0
2,500,1,0.1,994.0563333333333,83.0,21088.0,21587.0
3,500,1,0.1,1028.157,90.0,21229.0,21728.0
4,500,1,0.1,903.4110000000001,77.0,18312.0,18811.0
5,500,1,0.1,973.6053333333334,84.0,18537.0,19036.0
6,500,1,0.1,943.9153333333334,82.0,18934.0,19433.0
7,500,1,0.1,939.39,81.0,18827.0,19326.0
8,500,1,0.1,1096.0063333333333,94.0,23170.0,23669.0
9,500,1,0.1,1020.4766666666666,89.0,20694.0,21193.0
10,500,1,0.1,965.5120000000001,81.0,18413.0,18912.0
1,500,1,0.11,1078.6773333333333,90.0,19803.0,20302.0
2,500,1,0.11,1257.9533333333331,101.0,24683.0,25182.0
3,500,1,0.11,1059.518,90.0,20621.0,21120.0
4,500,1,0.11,1032.7363333333335,87.0,20437.0,20936.0
5,500,1,0.11,1113.6323333333335,94.0,21904.0,22403.0
6,500,1,0.11,984.2486666666667,83.0,19703.0,20202.0
7,500,1,0.11,1026.1596666666665,87.0,20244.0,20743.0
8,500,1,0.11,1129.4176666666665,96.0,22571.0,23070.0
9,500,1,0.11,1113.325,97.0,22250.0,22749.0
10,500,1,0.11,1073.339,92.0,20651.0,21150.0
1,500,1,0.12,1232.2523333333334,99.0,24294.0,24793.0
2,500,1,0.12,1249.677,104.0,24759.0,25258.0
3,500,1,0.12,1163.7073333333335,96.0,22417.0,22916.0
4,500,1,0.12,1155.5500000000002,95.0,22098.0,22597.0
5,500,1,0.12,1178.4726666666666,96.0,22418.0,22917.0
6,500,1,0.12,1316.452,107.0,26209.0,26708.0
7,500,1,0.12,1205.7466666666667,102.0,22356.0,22855.0
8,500,1,0.12,1259.4016666666666,101.0,24182.0,24681.0
9,500,1,0.12,1177.5853333333332,97.0,23000.0,23499.0
10,500,1,0.12,1110.7450000000001,92.0,22054.0,22553.0
1,500,1,0.13,1262.3383333333334,103.0,24256.0,24755.0
2,500,1,0.13,1338.4693333333335,106.0,25921.0,26420.0
3,500,1,0.13,1464.124,113.0,26826.0,27325.0
4,500,1,0.13,1225.3573333333334,97.0,22430.0,22929.0
5,500,1,0.13,1302.2996666666666,107.0,24406.0,24905.0
6,500,1,0.13,1327.488,100.0,24069.0,24568.0
7,500,1,0.13,1215.945,101.0,22383.0,22882.0
8,500,1,0.13,1246.058,102.0,23734.0,24233.0
9,500,1,0.13,1236.001,99.0,23550.0,24049.0
10,500,1,0.13,1215.7393333333332,98.0,24345.0,24844.0
